P_IN_KW,P_REL
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
-0.021132999999999999,0.0021132999999999998
-0.18226700000000001,0.018226700000000002
-0.4202000000000000,0.042020000000000002
-1.1185560000000001,0.11185560000000001
-1.7951999999999999,0.17951999999999999
-2.1065559999999999,0.2106556
-2.315756000000,0.23157559999999999
-2.757733000000000,0.2757733
-3.382178000000,0.33821780000000001
-3.3212670000000002,0.3321267
-3.626356000000000,0.3626356
-3.4294440000000002,0.34294440000000004
-4.450644000000000,0.44506439999999997
-4.909244000000000,0.49092440000000004
-5.14588900000,0.51458890000000002
-6.574222000000000,0.65742219999999996
-6.612244000000000,0.66122439999999993
-6.669044000000000,0.66690440000000006
-7.695867000000000,0.76958669999999996
-7.364956000000000,0.73649560000000003
-8.014956000000000,0.80149559999999997
-8.05868900000,0.80586889999999989
-8.021622000000001,0.80216220000000005
-8.034000000000001,0.80340000000000011
-7.991756000000000,0.79917559999999999
-7.886667000000000,0.78866670000000005
-7.744267000000000,0.77442670000000002
-7.476222000000000,0.74762220000000001
-7.129022000000,0.71290220000000004
-6.234667000000000,0.62346670000000004
-5.8692219999999997,0.58692219999999995
-3.395578000000,0.33955780000000002
-3.6984,0.36984
-4.1536890000000000,0.41536889999999999
-3.0924670000000001,0.30924669999999999
-2.869756000000000,0.2869756
-3.229889000000000,0.32298890000000002
-3.733689000000,0.3733689
-2.8905560000000001,0.28905560000000002
-2.968933000000000,0.29689329999999997
-1.7444890000000000,0.17444889999999999
-1.2648440000000,0.1264844
-0.3153780000000000,0.031537799999999998
-0.1708890000000000,0.017088900000000001
-0.04768900000000000,0.0047689000000000004
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0

