time  ,P_REL
0.0,0.519
0.25,0.514
0.5,0.513
0.75,0.524
1.0,0.541
1.25,0.561
1.5,0.5579999999999999
1.75,0.522
2.0,0.49200000000000005
2.25,0.47
2.5,0.449
2.75,0.457
3.0,0.45799999999999996
3.25,0.485
3.5,0.479
3.75,0.47200000000000003
4.0,0.48700000000000004
4.25,0.484
4.5,0.486
4.75,0.506
5.0,0.479
5.25,0.47600000000000003
5.5,0.48200000000000004
5.75,0.466
6.0,0.456
6.25,0.45
6.5,0.45799999999999996
6.75,0.465
7.0,0.45899999999999996
7.25,0.45899999999999996
7.5,0.462
7.75,0.441
8.0,0.43
8.25,0.439
8.5,0.44
8.75,0.446
9.0,0.44799999999999995
9.25,0.45299999999999996
9.5,0.523
9.75,0.555
10.0,0.519
10.25,0.479
10.5,0.469
10.75,0.451
11.0,0.5
11.25,0.518
11.5,0.55
11.75,0.5760000000000001
12.0,0.562
12.25,0.57
12.5,0.573
12.75,0.607
13.0,0.624
13.25,0.624
13.5,0.6579999999999999
13.75,0.653
14.0,0.6559999999999999
14.25,0.654
14.5,0.675
14.75,0.652
15.0,0.6679999999999999
15.25,0.617
15.5,0.564
15.75,0.561
16.0,0.5670000000000001
16.25,0.5710000000000001
16.5,0.569
16.75,0.57
17.0,0.58
17.25,0.564
17.5,0.601
17.75,0.655
18.0,0.667
18.25,0.662
18.5,0.6759999999999999
18.75,0.672
19.0,0.662
19.25,0.6629999999999999
19.5,0.6709999999999999
19.75,0.659
20.0,0.67
20.25,0.6609999999999999
20.5,0.6759999999999999
20.75,0.664
21.0,0.664
21.25,0.66
21.5,0.659
21.75,0.64
22.0,0.63
22.25,0.625
22.5,0.629
22.75,0.609
23.0,0.5870000000000001
23.25,0.5760000000000001
23.5,0.5589999999999999
23.75,0.491
